d,t,n
48,27,47
48,28,52
48,29,28
48,30,36
48,31,50
48,32,42
48,33,45
48,34,55
48,35,34
48,36,34
48,37,33
48,38,50
48,39,41
48,40,38
48,41,31
48,42,33
48,43,26
48,44,23
48,45,22
48,46,17
48,47,14
49,0,12
49,1,5
49,2,5
49,3,2
49,4,6
49,5,5
49,6,5
49,7,2
49,8,6
49,9,5
49,10,8
49,11,8
49,12,9
49,13,26
49,14,20
49,15,29
49,16,35
49,17,33
49,18,44
49,19,32
49,20,35
49,21,33
49,22,32
49,23,33
49,24,37
49,25,48
49,26,48
49,27,39
49,28,39
49,29,41
49,30,44
49,31,37
49,32,41
49,33,44
49,34,39
49,35,57
49,36,46
49,37,41
49,38,39
49,39,28
49,40,22
49,41,20
49,42,21
49,43,19
49,44,14
49,45,12
49,46,10
49,47,8
50,0,4
50,1,0
50,2,6
50,3,2
50,4,2
50,5,3
50,6,2
50,7,4
50,8,4
50,9,7
50,10,7
50,11,5
50,12,8
50,13,26
50,14,24
50,15,29
50,16,26
50,17,31
50,18,30
50,19,33
50,20,35
50,21,22
50,22,23
50,23,37
50,24,36
50,25,39
50,26,43
50,27,34
50,28,44
50,29,31
50,30,41
50,31,40
50,32,40
50,33,34
50,34,49
50,35,38
50,36,41
50,37,39
50,38,36
50,39,22
50,40,29
50,41,20
50,42,17
50,43,18
50,44,4
50,45,10
50,46,4
50,47,9
51,0,2
51,1,3
51,2,4
51,3,3
51,4,3
51,5,3
51,6,7
51,7,5
51,8,4
51,9,3
51,10,3
51,11,16
51,12,15
51,13,31
51,14,62
51,15,88
51,16,86
51,17,85
51,18,55
51,19,32
51,20,39
51,21,38
51,22,45
51,23,40
51,24,33
51,25,52
51,26,34
51,27,33
51,28,49
51,29,43
51,30,42
51,31,43
51,32,44
51,33,55
51,34,58
51,35,69
51,36,84
51,37,77
51,38,46
51,39,54
51,40,43
51,41,32
51,42,44
51,43,35
51,44,22
51,45,18
51,46,18
51,47,7
52,0,5
52,1,3
52,2,3
52,3,2
52,4,3
52,5,2
52,6,2
52,7,4
52,8,2
52,9,6
52,10,7
52,11,9
52,12,18
52,13,32
52,14,68
52,15,87
52,16,78
52,17,64
52,18,34
52,19,34
52,20,40
52,21,38
52,22,52
52,23,45
52,24,45
52,25,47
52,26,50
52,27,38
52,28,38
52,29,44
52,30,43
52,31,46
52,32,48
52,33,51
52,34,55
52,35,71
52,36,88
52,37,80
52,38,69
52,39,62
52,40,51
52,41,46
52,42,34
52,43,25
52,44,25
52,45,16
52,46,15
52,47,15
53,0,5
53,1,9
53,2,5
53,3,6
53,4,5
53,5,2
53,6,5
53,7,5
53,8,5
53,9,3
53,10,6
53,11,17
53,12,25
53,13,39
53,14,72
53,15,87
53,16,77
53,17,62
53,18,61
53,19,47
53,20,43
53,21,50
53,22,43
53,23,41
53,24,46
53,25,45
53,26,49
53,27,43
53,28,37
53,29,48
53,30,43
53,31,63
53,32,55
53,33,49
53,34,65
53,35,75
53,36,76
53,37,69
53,38,63
53,39,44
53,40,42
53,41,29
53,42,45
53,43,25
53,44,23
53,45,22
53,46,11
53,47,9
54,0,9
54,1,5
54,2,8
54,3,5
54,4,3
54,5,3
54,6,3
54,7,1
54,8,5
54,9,9
54,10,9
54,11,20
54,12,20
54,13,38
54,14,69
54,15,93
54,16,79
54,17,73
54,18,46
54,19,38
54,20,46
54,21,42
54,22,51
54,23,37
54,24,40
54,25,44
54,26,42
54,27,35
54,28,49
54,29,28
54,30,43
54,31,47
54,32,43
54,33,64
54,34,62
54,35,93
54,36,85
54,37,86
54,38,64
54,39,69
54,40,42
54,41,46
54,42,43
54,43,41
54,44,37
54,45,28
54,46,19
54,47,24
55,0,12
55,1,12
55,2,5
55,3,6
55,4,3
55,5,4
55,6,5
55,7,6
55,8,4
55,9,6
55,10,6
55,11,14
55,12,20
55,13,28
55,14,28
55,15,37
55,16,33
55,17,38
55,18,41
55,19,39
55,20,37
55,21,50
55,22,41
55,23,52
55,24,46
55,25,58
55,26,59
55,27,45
55,28,43
55,29,44
55,30,47
55,31,55
55,32,43
55,33,60
55,34,53
55,35,66
55,36,54
55,37,54
55,38,47
55,39,37
55,40,31
55,41,34
55,42,34
55,43,32
55,44,19
55,45,14
55,46,17
55,47,9
56,0,9
56,1,9
56,2,8
56,3,6
56,4,3
56,5,5
56,6,2
56,7,7
56,8,4
56,9,4
56,10,6
56,11,13
56,12,15
56,13,9
56,14,23
56,15,25
56,16,34
56,17,44
56,18,36
56,19,33
56,20,44
56,21,41
56,22,37
56,23,43
56,24,54
56,25,38
56,26,41
56,27,42
56,28,33
56,29,41
56,30,45
56,31,39
56,32,44
56,33,55
56,34,44
56,35,40
56,36,37
56,37,43
56,38,40
56,39,28
56,40,27
56,41,23
56,42,25
56,43,20
56,44,13
56,45,13
56,46,6
56,47,10
57,0,3
57,1,6
57,2,4
57,3,7
57,4,6
57,5,3
57,6,6
57,7,3
57,8,3
57,9,7
57,10,6
57,11,11
57,12,18
57,13,40
57,14,73
57,15,93
57,16,72
57,17,80
57,18,61
57,19,50
57,20,49
57,21,41
57,22,37
57,23,45
57,24,50
57,25,48
57,26,47
57,27,60
57,28,40
57,29,59
57,30,44
57,31,49
57,32,49
57,33,46
57,34,66
57,35,92
57,36,83
57,37,77
57,38,68
57,39,48
57,40,40
57,41,34
57,42,31
57,43,26
57,44,18
57,45,15
57,46,14
57,47,4
58,0,5
58,1,3
58,2,3
58,3,3
58,4,2
58,5,7
58,6,2
58,7,5
58,8,1
58,9,6
58,10,5
58,11,19
58,12,22
58,13,29
58,14,67
58,15,73
58,16,96
58,17,67
58,18,47
58,19,42
58,20,37
58,21,37
58,22,40
58,23,43
58,24,46
58,25,40
58,26,43
58,27,38
58,28,55
58,29,32
58,30,44
58,31,55
58,32,54
58,33,65
58,34,48
58,35,83
58,36,74
58,37,67
58,38,68
58,39,50
58,40,49
58,41,42
58,42,37
58,43,21
58,44,18
58,45,22
58,46,15
58,47,7
59,0,6
59,1,2
59,2,4
59,3,4
59,4,3
59,5,1
59,6,2
59,7,4
59,8,3
59,9,8
59,10,3
59,11,11
59,12,17
59,13,25
59,14,51
59,15,72
59,16,66
59,17,68
59,18,52
59,19,59
59,20,51
59,21,62
59,22,62
59,23,42
59,24,52
59,25,34
59,26,38
59,27,56
59,28,50
59,29,40
59,30,51
59,31,40
59,32,42
59,33,54
59,34,63
59,35,91
59,36,107
59,37,89
59,38,60
59,39,53
59,40,48
59,41,36
59,42,31
59,43,32
59,44,19
59,45,18
59,46,9
59,47,13
60,0,4
60,1,5
60,2,2
60,3,1
60,4,2
60,5,1
60,6,1
60,7,4
60,8,3
60,9,3
60,10,5
60,11,9
60,12,17
60,13,28
60,14,61
60,15,86
60,16,77
60,17,63
60,18,41
60,19,48
60,20,41
60,21,45
60,22,46
60,23,42
60,24,49
60,25,35
60,26,44
60,27,43
60,28,48
60,29,42
60,30,55
60,31,35
60,32,51
60,33,47
60,34,55
60,35,72
60,36,90
60,37,79
60,38,63
60,39,40
60,40,38
60,41,45
60,42,48
60,43,27
60,44,26
60,45,20
60,46,9
60,47,9
61,0,5
61,1,7
61,2,3
61,3,6
61,4,5
61,5,4
61,6,2
61,7,2
61,8,6
61,9,3
61,10,4
61,11,9
61,12,18
61,13,25
61,14,61
61,15,84
61,16,82
61,17,65
61,18,43
61,19,32
61,20,49
61,21,45
61,22,40
61,23,32
61,24,37
61,25,45
61,26,51
61,27,47
61,28,43
61,29,53
61,30,40
61,31,45
61,32,52
61,33,38
61,34,66
61,35,89
61,36,73
61,37,85
61,38,59
61,39,48
61,40,39
61,41,37
61,42,33
61,43,26
61,44,46
61,45,25
61,46,17
61,47,22
62,0,6
62,1,3
62,2,2
62,3,3
62,4,3
62,5,1
62,6,4
62,7,0
62,8,5
62,9,6
62,10,4
62,11,11
62,12,8
62,13,16
62,14,21
62,15,35
62,16,36
62,17,37
62,18,34
62,19,35
62,20,47
62,21,46
62,22,41
62,23,47
62,24,32
62,25,40
62,26,40
62,27,35
62,28,58
62,29,45
62,30,28
62,31,41
62,32,46
62,33,41
62,34,52
62,35,46
62,36,45
62,37,39
62,38,35
62,39,29
62,40,36
62,41,30
62,42,35
62,43,32
62,44,24
62,45,18
62,46,14
62,47,19
63,0,12
63,1,9
63,2,9
63,3,3
63,4,1
63,5,5
63,6,4
63,7,2
63,8,3
63,9,7
63,10,7
63,11,10
63,12,14
63,13,10
63,14,16
63,15,28
63,16,29
63,17,28
63,18,34
63,19,31
63,20,18
63,21,28
63,22,35
63,23,43
63,24,42
63,25,44
63,26,40
63,27,32
63,28,38
63,29,44
63,30,45
63,31,53
63,32,36
63,33,57
63,34,46
63,35,41
63,36,31
63,37,41
63,38,26
63,39,25
63,40,20
63,41,18
63,42,21
63,43,18
63,44,14
63,45,15
63,46,13
63,47,10
64,0,5
64,1,7
64,2,5
64,3,4
64,4,3
64,5,4
64,6,3
64,7,4
64,8,7
64,9,6
64,10,7
64,11,16
64,12,17
64,13,36
64,14,58
64,15,71
64,16,70
64,17,63
64,18,65
64,19,46
64,20,46
64,21,44
64,22,42
64,23,39
64,24,53
64,25,42
64,26,54
64,27,42
64,28,49
64,29,40
64,30,45
64,31,45
64,32,44
64,33,47
64,34,48
64,35,77
64,36,72
64,37,65
64,38,70
64,39,58
64,40,42
64,41,40
64,42,38
64,43,25
64,44,13
64,45,14
64,46,6
64,47,9
65,0,1
65,1,6
65,2,4
65,3,4
65,4,3
65,5,5
65,6,3
65,7,4
65,8,5
65,9,7
65,10,4
65,11,17
65,12,19
65,13,29
65,14,64
65,15,75
65,16,75
65,17,67
65,18,46
65,19,39
65,20,34
65,21,34
65,22,39
65,23,30
65,24,39
65,25,51
65,26,36
65,27,42
65,28,43
65,29,49
65,30,52
65,31,40
65,32,37
65,33,56
65,34,52
65,35,75
65,36,89
65,37,68
65,38,53
65,39,45
65,40,62
65,41,42
65,42,34
65,43,32
65,44,24
65,45,16
65,46,9
65,47,8
66,0,2
66,1,4
66,2,2
66,3,7
66,4,2
66,5,5
66,6,6
66,7,2
66,8,4
66,9,5
66,10,11
66,11,8
66,12,17
66,13,37
66,14,72
66,15,91
66,16,70
66,17,62
66,18,51
66,19,46
66,20,35
66,21,41
66,22,47
66,23,47
66,24,51
66,25,43
66,26,53
66,27,43
66,28,54
66,29,52
66,30,43
66,31,40
66,32,66
66,33,48
66,34,57
66,35,82
66,36,95
66,37,62
66,38,54
66,39,47
66,40,51
66,41,44
66,42,32
66,43,29
66,44,32
66,45,14
66,46,11
66,47,8
67,0,3
67,1,8
67,2,5
67,3,4
67,4,9
67,5,7
67,6,6
67,7,4
67,8,8
67,9,8
67,10,11
67,11,7
67,12,14
67,13,36
67,14,59
67,15,83
67,16,84
67,17,62
67,18,49
67,19,56
67,20,37
67,21,44
67,22,49
67,23,43
67,24,43
67,25,59
67,26,58
67,27,37
67,28,35
67,29,37
67,30,41
67,31,48
67,32,39
67,33,53
67,34,62
67,35,78
67,36,86
67,37,67
67,38,60
67,39,57
67,40,46
67,41,36
67,42,48
67,43,31
67,44,24
67,45,21
67,46,8
67,47,11
68,0,3
68,1,6
68,2,5
68,3,3
68,4,5
68,5,3
68,6,1
68,7,3
68,8,5
68,9,8
68,10,5
68,11,11
68,12,15
68,13,37
68,14,62
68,15,69
68,16,64
68,17,58
68,18,39
68,19,37
68,20,36
68,21,52
68,22,49
68,23,41
68,24,57
68,25,48
68,26,32
68,27,49
68,28,38
68,29,37
68,30,41
68,31,41
68,32,44
68,33,44
68,34,51
68,35,80
68,36,79
68,37,74
68,38,74
68,39,62
68,40,42
68,41,42
68,42,50
68,43,35
68,44,28
68,45,23
68,46,23
68,47,18
69,0,8
69,1,9
69,2,3
69,3,4
69,4,1
69,5,4
69,6,7
69,7,4
69,8,5
69,9,7
69,10,3
69,11,8
69,12,15
69,13,15
69,14,33
69,15,32
69,16,36
69,17,37
69,18,51
69,19,47
69,20,48
69,21,47
69,22,55
69,23,36
69,24,47
69,25,46
69,26,41
69,27,36
69,28,35
69,29,35
69,30,50
69,31,39
69,32,63
69,33,56
69,34,66
69,35,49
69,36,58
69,37,50
69,38,37
69,39,26
69,40,38
69,41,32
69,42,36
69,43,16
69,44,22
69,45,23
69,46,22
69,47,16
70,0,7
70,1,5
70,2,8
70,3,4
70,4,4
70,5,14
70,6,7
70,7,6
70,8,8
70,9,10
70,10,9
70,11,9
70,12,15
70,13,12
70,14,15
70,15,27
70,16,21
70,17,28
70,18,27
70,19,42
70,20,33
70,21,40
70,22,34
70,23,31
70,24,43
70,25,43
70,26,43
70,27,44
70,28,33
70,29,41
70,30,33
70,31,41
70,32,44
70,33,37
70,34,38
70,35,28
70,36,29
70,37,24
70,38,26
70,39,31
70,40,26
70,41,19
70,42,25
70,43,18
70,44,14
70,45,11
70,46,11
70,47,7
71,0,4
71,1,3
71,2,4
71,3,3
71,4,1
71,5,4
71,6,1
71,7,2
71,8,2
71,9,4
71,10,5
71,11,8
71,12,13
71,13,34
71,14,46
71,15,76
71,16,78
71,17,61
71,18,40
71,19,40
71,20,50
71,21,53
71,22,42
71,23,36
71,24,34
71,25,53
71,26,33
71,27,33
71,28,36
71,29,35
71,30,35
71,31,38
71,32,42
71,33,48
71,34,50
71,35,71
71,36,73
71,37,77
71,38,53
71,39,50
71,40,47
71,41,38
71,42,29
71,43,23
71,44,18
71,45,18
71,46,11
71,47,7
72,0,7
72,1,7
72,2,0
72,3,5
72,4,2
72,5,2
72,6,4
72,7,2
72,8,2
72,9,4
72,10,4
72,11,6
72,12,17
72,13,29
72,14,68
72,15,69
72,16,73
72,17,51
72,18,44
72,19,34
72,20,49
72,21,39
72,22,58
72,23,39
72,24,48
72,25,42
72,26,46
72,27,43
72,28,40
72,29,32
72,30,33
72,31,40
72,32,45
72,33,41
72,34,50
72,35,71
72,36,74
72,37,59
72,38,60
72,39,48
72,40,45
72,41,28
72,42,27
72,43,36
72,44,21
72,45,12
72,46,14
72,47,13
73,0,6
73,1,6
73,2,5
73,3,6
73,4,7
73,5,4
73,6,1
73,7,5
73,8,9
73,9,4
73,10,2
73,11,8
73,12,16
73,13,39
73,14,50
73,15,79
73,16,79
73,17,68
73,18,40
73,19,34
73,20,42
73,21,46
73,22,28
73,23,47
73,24,34
73,25,42
73,26,40
73,27,40
73,28,44
73,29,41
73,30,31
73,31,34
73,32,45
73,33,56
73,34,46
73,35,78
73,36,66
73,37,64
73,38,39
73,39,49
73,40,49
73,41,29
73,42,37
73,43,21
73,44,15
73,45,13
73,46,21
73,47,12
74,0,4
74,1,5
74,2,1
74,3,3
74,4,2
74,5,2
74,6,2
74,7,2
74,8,2
74,9,5
74,10,6
74,11,8
74,12,15
74,13,23
74,14,52
74,15,85
74,16,66
74,17,46
74,18,34
74,19,35
74,20,28
74,21,38
74,22,35
74,23,42
74,24,40
74,25,51
74,26,46
74,27,49
74,28,40
74,29,41
74,30,44
74,31,37
74,32,33
74,33,54
74,34,61
74,35,77
74,36,82
74,37,69
74,38,59
74,39,54
74,40,43
74,41,37
74,42,39
74,43,22
74,44,15
74,45,11
74,46,16
74,47,8
